Student_ID,Student_Name,Department,Semester,Month,Month_Order,Total_Classes,Attended_Classes,Attendance_Pct,Semester_GPA
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 3,Sep,10,25,21,84.0,8.89
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 3,Oct,11,25,21,84.0,8.01
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 3,Nov,12,25,21,84.0,8.1
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 4,Aug,13,28,23,82.1,7.29
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 4,Sep,14,28,24,85.7,7.66
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 4,Oct,15,28,24,85.7,8.74
DYP2024CS102,Priya Kulkarni,Computer Science,Sem 4,Nov,16,28,26,92.9,8.41
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 1,Aug,1,22,19,86.4,8.53
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 1,Sep,2,23,21,91.3,8.24
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 1,Oct,3,24,23,95.8,9.92
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 1,Nov,4,27,26,96.3,9.15
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 2,Aug,5,23,20,87.0,7.8
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 2,Sep,6,26,23,88.5,7.9
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 2,Oct,7,24,21,87.5,9.21
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 2,Nov,8,25,21,84.0,9.01
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 3,Aug,9,24,21,87.5,8.23
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 3,Sep,10,28,26,92.9,8.7
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 3,Oct,11,25,24,96.0,9.71
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 3,Nov,12,24,23,95.8,9.55
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 4,Aug,13,24,21,87.5,9.48
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 4,Sep,14,28,23,82.1,8.04
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 4,Oct,15,24,21,87.5,7.88
DYP2024CS103,Rahul Deshmukh,Information Technology,Sem 4,Nov,16,26,24,92.3,9.02
DYP2024CS104,Neha Patil,Computer Science,Sem 1,Aug,1,25,21,84.0,9.17
DYP2024CS104,Neha Patil,Computer Science,Sem 1,Sep,2,23,18,78.3,7.84
DYP2024CS104,Neha Patil,Computer Science,Sem 1,Oct,3,22,17,77.3,7.36
DYP2024CS104,Neha Patil,Computer Science,Sem 1,Nov,4,26,18,69.2,7.18
DYP2024CS104,Neha Patil,Computer Science,Sem 2,Aug,5,24,18,75.0,7.3
DYP2024CS104,Neha Patil,Computer Science,Sem 2,Sep,6,24,17,70.8,6.45
DYP2024CS104,Neha Patil,Computer Science,Sem 2,Oct,7,27,19,70.4,7.74
DYP2024CS104,Neha Patil,Computer Science,Sem 2,Nov,8,25,16,64.0,6.81
DYP2024CS104,Neha Patil,Computer Science,Sem 3,Aug,9,27,20,74.1,7.82
DYP2024CS104,Neha Patil,Computer Science,Sem 3,Sep,10,22,15,68.2,6.5
DYP2024CS104,Neha Patil,Computer Science,Sem 3,Oct,11,25,16,64.0,5.85
DYP2024CS104,Neha Patil,Computer Science,Sem 3,Nov,12,23,15,65.2,6.94
DYP2024CS104,Neha Patil,Computer Science,Sem 4,Aug,13,28,17,60.7,6.68
DYP2024CS104,Neha Patil,Computer Science,Sem 4,Sep,14,26,16,61.5,6.69
DYP2024CS104,Neha Patil,Computer Science,Sem 4,Oct,15,22,13,59.1,6.63
DYP2024CS104,Neha Patil,Computer Science,Sem 4,Nov,16,23,12,52.2,5.88
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 1,Aug,1,27,26,96.3,8.78
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 1,Sep,2,24,21,87.5,8.64
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 1,Oct,3,23,22,95.7,9.16
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 1,Nov,4,24,23,95.8,9.79
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 2,Aug,5,28,23,82.1,7.89
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 2,Sep,6,26,22,84.6,9.17
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 2,Oct,7,22,20,90.9,8.66
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 2,Nov,8,26,24,92.3,9.03
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 3,Aug,9,27,23,85.2,7.95
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 3,Sep,10,22,20,90.9,8.22
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 3,Oct,11,24,22,91.7,8.41
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 3,Nov,12,25,24,96.0,10.0
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 4,Aug,13,27,22,81.5,8.58
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 4,Sep,14,28,26,92.9,9.41
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 4,Oct,15,25,21,84.0,8.61
DYP2024CS105,Amit Joshi,AI & Data Science,Sem 4,Nov,16,27,23,85.2,7.87
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 1,Aug,1,27,16,59.3,5.22
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 1,Sep,2,23,17,73.9,7.7
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 1,Oct,3,23,16,69.6,6.4
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 1,Nov,4,22,16,72.7,6.28
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 2,Aug,5,24,17,70.8,7.4
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 2,Sep,6,24,18,75.0,7.92
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 2,Oct,7,26,14,53.8,5.07
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 2,Nov,8,26,16,61.5,5.52
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 3,Aug,9,25,17,68.0,6.7
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 3,Sep,10,27,18,66.7,6.35
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 3,Oct,11,26,16,61.5,5.9
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 3,Nov,12,23,14,60.9,6.33
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 4,Aug,13,22,12,54.5,4.5
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 4,Sep,14,23,14,60.9,6.49
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 4,Oct,15,23,16,69.6,6.6
DYP2024CS106,Siddharth Verma,AI & Data Science,Sem 4,Nov,16,24,14,58.3,5.54
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 1,Aug,1,24,22,91.7,9.08
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 1,Sep,2,24,20,83.3,7.96
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 1,Oct,3,22,19,86.4,7.93
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 1,Nov,4,24,21,87.5,8.66
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 2,Aug,5,26,23,88.5,8.92
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 2,Sep,6,27,26,96.3,8.98
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 2,Oct,7,27,24,88.9,9.59
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 2,Nov,8,27,25,92.6,8.98
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 3,Aug,9,25,23,92.0,9.12
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 3,Sep,10,25,23,92.0,8.93
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 3,Oct,11,26,24,92.3,8.74
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 3,Nov,12,27,26,96.3,10.0
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 4,Aug,13,25,22,88.0,8.34
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 4,Sep,14,28,25,89.3,8.17
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 4,Oct,15,26,24,92.3,8.75
DYP2024CS107,Ananya Rao,AI & Data Science,Sem 4,Nov,16,23,21,91.3,9.74
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 1,Aug,1,27,18,66.7,7.46
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 1,Sep,2,26,18,69.2,6.54
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 1,Oct,3,28,16,57.1,5.9
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 1,Nov,4,26,16,61.5,6.53
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 2,Aug,5,26,15,57.7,6.03
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 2,Sep,6,24,15,62.5,5.26
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 2,Oct,7,28,21,75.0,7.59
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 2,Nov,8,26,15,57.7,6.41
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 3,Aug,9,28,17,60.7,5.17
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 3,Sep,10,27,19,70.4,7.52
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 3,Oct,11,23,13,56.5,5.75
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 3,Nov,12,27,20,74.1,8.06
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 4,Aug,13,27,17,63.0,6.61
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 4,Sep,14,26,15,57.7,5.31
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 4,Oct,15,26,19,73.1,7.19
DYP2024CS108,Vikram Mane,AI & Data Science,Sem 4,Nov,16,23,14,60.9,5.38
DYP2024CS109,Pooja Shinde,Information Technology,Sem 1,Aug,1,24,23,95.8,10.0
DYP2024CS109,Pooja Shinde,Information Technology,Sem 1,Sep,2,22,19,86.4,8.48
DYP2024CS109,Pooja Shinde,Information Technology,Sem 1,Oct,3,24,21,87.5,7.87
DYP2024CS109,Pooja Shinde,Information Technology,Sem 1,Nov,4,26,25,96.2,9.97
DYP2024CS109,Pooja Shinde,Information Technology,Sem 2,Aug,5,26,23,88.5,8.23
DYP2024CS109,Pooja Shinde,Information Technology,Sem 2,Sep,6,23,21,91.3,8.85
DYP2024CS109,Pooja Shinde,Information Technology,Sem 2,Oct,7,22,19,86.4,8.24
DYP2024CS109,Pooja Shinde,Information Technology,Sem 2,Nov,8,25,24,96.0,9.96
DYP2024CS109,Pooja Shinde,Information Technology,Sem 3,Aug,9,23,20,87.0,7.84
DYP2024CS109,Pooja Shinde,Information Technology,Sem 3,Sep,10,22,19,86.4,8.9
DYP2024CS109,Pooja Shinde,Information Technology,Sem 3,Oct,11,23,22,95.7,8.8
DYP2024CS109,Pooja Shinde,Information Technology,Sem 3,Nov,12,27,22,81.5,8.53
DYP2024CS109,Pooja Shinde,Information Technology,Sem 4,Aug,13,23,20,87.0,7.78
DYP2024CS109,Pooja Shinde,Information Technology,Sem 4,Sep,14,24,23,95.8,9.67
DYP2024CS109,Pooja Shinde,Information Technology,Sem 4,Oct,15,27,23,85.2,8.09
DYP2024CS109,Pooja Shinde,Information Technology,Sem 4,Nov,16,25,24,96.0,9.18
DYP2024CS110,Rohan Pawar,Information Technology,Sem 1,Aug,1,22,15,68.2,6.45
DYP2024CS110,Rohan Pawar,Information Technology,Sem 1,Sep,2,24,17,70.8,6.33
DYP2024CS110,Rohan Pawar,Information Technology,Sem 1,Oct,3,24,18,75.0,7.55
DYP2024CS110,Rohan Pawar,Information Technology,Sem 1,Nov,4,26,20,76.9,8.44
DYP2024CS110,Rohan Pawar,Information Technology,Sem 2,Aug,5,26,19,73.1,6.79
DYP2024CS110,Rohan Pawar,Information Technology,Sem 2,Sep,6,22,17,77.3,7.4
DYP2024CS110,Rohan Pawar,Information Technology,Sem 2,Oct,7,27,21,77.8,7.28
DYP2024CS110,Rohan Pawar,Information Technology,Sem 2,Nov,8,23,18,78.3,7.47
DYP2024CS110,Rohan Pawar,Information Technology,Sem 3,Aug,9,23,18,78.3,8.03
DYP2024CS110,Rohan Pawar,Information Technology,Sem 3,Sep,10,22,18,81.8,7.55
DYP2024CS110,Rohan Pawar,Information Technology,Sem 3,Oct,11,23,19,82.6,7.47
DYP2024CS110,Rohan Pawar,Information Technology,Sem 3,Nov,12,25,21,84.0,8.0
DYP2024CS110,Rohan Pawar,Information Technology,Sem 4,Aug,13,28,23,82.1,7.52
DYP2024CS110,Rohan Pawar,Information Technology,Sem 4,Sep,14,23,20,87.0,8.09
DYP2024CS110,Rohan Pawar,Information Technology,Sem 4,Oct,15,23,20,87.0,7.82
DYP2024CS110,Rohan Pawar,Information Technology,Sem 4,Nov,16,26,24,92.3,9.88
DYP2024CS111,Sneha Kadam,Computer Science,Sem 1,Aug,1,26,17,65.4,6.02
DYP2024CS111,Sneha Kadam,Computer Science,Sem 1,Sep,2,27,20,74.1,7.24
DYP2024CS111,Sneha Kadam,Computer Science,Sem 1,Oct,3,27,16,59.3,6.6
DYP2024CS111,Sneha Kadam,Computer Science,Sem 1,Nov,4,24,15,62.5,6.02
DYP2024CS111,Sneha Kadam,Computer Science,Sem 2,Aug,5,28,21,75.0,7.48
DYP2024CS111,Sneha Kadam,Computer Science,Sem 2,Sep,6,25,16,64.0,7.12
DYP2024CS111,Sneha Kadam,Computer Science,Sem 2,Oct,7,27,16,59.3,6.03
DYP2024CS111,Sneha Kadam,Computer Science,Sem 2,Nov,8,24,15,62.5,6.1
DYP2024CS111,Sneha Kadam,Computer Science,Sem 3,Aug,9,25,16,64.0,6.46
DYP2024CS111,Sneha Kadam,Computer Science,Sem 3,Sep,10,26,15,57.7,6.0
DYP2024CS111,Sneha Kadam,Computer Science,Sem 3,Oct,11,24,14,58.3,5.4
DYP2024CS111,Sneha Kadam,Computer Science,Sem 3,Nov,12,27,19,70.4,6.26
DYP2024CS111,Sneha Kadam,Computer Science,Sem 4,Aug,13,27,18,66.7,6.55
DYP2024CS111,Sneha Kadam,Computer Science,Sem 4,Sep,14,25,17,68.0,7.49
DYP2024CS111,Sneha Kadam,Computer Science,Sem 4,Oct,15,25,15,60.0,5.04
DYP2024CS111,Sneha Kadam,Computer Science,Sem 4,Nov,16,23,13,56.5,6.06
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 1,Aug,1,27,19,70.4,7.5
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 1,Sep,2,27,19,70.4,7.48
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 1,Oct,3,27,19,70.4,7.74
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 1,Nov,4,25,19,76.0,7.41
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 2,Aug,5,27,19,70.4,6.58
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 2,Sep,6,22,16,72.7,6.98
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 2,Oct,7,27,21,77.8,7.79
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 2,Nov,8,22,18,81.8,7.92
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 3,Aug,9,23,19,82.6,8.75
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 3,Sep,10,24,20,83.3,7.42
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 3,Oct,11,22,18,81.8,7.76
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 3,Nov,12,28,23,82.1,7.86
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 4,Aug,13,25,20,80.0,8.35
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 4,Sep,14,26,22,84.6,8.52
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 4,Oct,15,26,23,88.5,7.91
DYP2024CS112,Tanmay Gaikwad,AI & Data Science,Sem 4,Nov,16,28,25,89.3,9.51
DYP2024CS113,Aditya Joshi,Information Technology,Sem 1,Aug,1,23,19,82.6,7.67
DYP2024CS113,Aditya Joshi,Information Technology,Sem 1,Sep,2,26,20,76.9,7.0
DYP2024CS113,Aditya Joshi,Information Technology,Sem 1,Oct,3,22,16,72.7,7.8
DYP2024CS113,Aditya Joshi,Information Technology,Sem 1,Nov,4,27,19,70.4,6.06
DYP2024CS113,Aditya Joshi,Information Technology,Sem 2,Aug,5,25,19,76.0,7.48
DYP2024CS113,Aditya Joshi,Information Technology,Sem 2,Sep,6,24,17,70.8,6.4
DYP2024CS113,Aditya Joshi,Information Technology,Sem 2,Oct,7,23,15,65.2,5.64
DYP2024CS113,Aditya Joshi,Information Technology,Sem 2,Nov,8,22,14,63.6,7.06
DYP2024CS113,Aditya Joshi,Information Technology,Sem 3,Aug,9,22,16,72.7,7.77
DYP2024CS113,Aditya Joshi,Information Technology,Sem 3,Sep,10,23,15,65.2,6.63
DYP2024CS113,Aditya Joshi,Information Technology,Sem 3,Oct,11,23,15,65.2,6.2
DYP2024CS113,Aditya Joshi,Information Technology,Sem 3,Nov,12,26,16,61.5,6.5
DYP2024CS113,Aditya Joshi,Information Technology,Sem 4,Aug,13,24,16,66.7,6.79
DYP2024CS113,Aditya Joshi,Information Technology,Sem 4,Sep,14,23,14,60.9,6.73
DYP2024CS113,Aditya Joshi,Information Technology,Sem 4,Oct,15,26,15,57.7,4.87
DYP2024CS113,Aditya Joshi,Information Technology,Sem 4,Nov,16,28,16,57.1,5.42
DYP2024CS114,Isha Nair,Information Technology,Sem 1,Aug,1,27,17,63.0,5.94
DYP2024CS114,Isha Nair,Information Technology,Sem 1,Sep,2,26,16,61.5,5.51
DYP2024CS114,Isha Nair,Information Technology,Sem 1,Oct,3,27,18,66.7,6.09
DYP2024CS114,Isha Nair,Information Technology,Sem 1,Nov,4,23,14,60.9,5.88
DYP2024CS114,Isha Nair,Information Technology,Sem 2,Aug,5,27,18,66.7,6.13
DYP2024CS114,Isha Nair,Information Technology,Sem 2,Sep,6,28,16,57.1,5.11
DYP2024CS114,Isha Nair,Information Technology,Sem 2,Oct,7,26,16,61.5,5.86
DYP2024CS114,Isha Nair,Information Technology,Sem 2,Nov,8,22,16,72.7,6.69
DYP2024CS114,Isha Nair,Information Technology,Sem 3,Aug,9,24,17,70.8,7.41
DYP2024CS114,Isha Nair,Information Technology,Sem 3,Sep,10,27,16,59.3,6.16
DYP2024CS114,Isha Nair,Information Technology,Sem 3,Oct,11,25,17,68.0,7.12
DYP2024CS114,Isha Nair,Information Technology,Sem 3,Nov,12,26,16,61.5,5.37
DYP2024CS114,Isha Nair,Information Technology,Sem 4,Aug,13,27,18,66.7,6.86
DYP2024CS114,Isha Nair,Information Technology,Sem 4,Sep,14,27,17,63.0,6.35
DYP2024CS114,Isha Nair,Information Technology,Sem 4,Oct,15,22,13,59.1,6.69
DYP2024CS114,Isha Nair,Information Technology,Sem 4,Nov,16,27,19,70.4,6.62
DYP2024CS115,Karan Mehta,Computer Science,Sem 1,Aug,1,25,21,84.0,8.33
DYP2024CS115,Karan Mehta,Computer Science,Sem 1,Sep,2,24,22,91.7,8.97
DYP2024CS115,Karan Mehta,Computer Science,Sem 1,Oct,3,25,21,84.0,7.66
DYP2024CS115,Karan Mehta,Computer Science,Sem 1,Nov,4,28,26,92.9,9.07
DYP2024CS115,Karan Mehta,Computer Science,Sem 2,Aug,5,25,23,92.0,9.34
DYP2024CS115,Karan Mehta,Computer Science,Sem 2,Sep,6,26,21,80.8,7.98
DYP2024CS115,Karan Mehta,Computer Science,Sem 2,Oct,7,25,21,84.0,7.89
DYP2024CS115,Karan Mehta,Computer Science,Sem 2,Nov,8,27,26,96.3,9.39
DYP2024CS115,Karan Mehta,Computer Science,Sem 3,Aug,9,28,24,85.7,9.3
DYP2024CS115,Karan Mehta,Computer Science,Sem 3,Sep,10,26,22,84.6,8.84
DYP2024CS115,Karan Mehta,Computer Science,Sem 3,Oct,11,26,24,92.3,8.29
DYP2024CS115,Karan Mehta,Computer Science,Sem 3,Nov,12,22,18,81.8,7.49
DYP2024CS115,Karan Mehta,Computer Science,Sem 4,Aug,13,23,21,91.3,8.35
DYP2024CS115,Karan Mehta,Computer Science,Sem 4,Sep,14,24,23,95.8,9.9
DYP2024CS115,Karan Mehta,Computer Science,Sem 4,Oct,15,26,24,92.3,9.2
DYP2024CS115,Karan Mehta,Computer Science,Sem 4,Nov,16,26,22,84.6,7.78
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 1,Aug,1,27,16,59.3,5.45
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 1,Sep,2,28,17,60.7,5.15
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 1,Oct,3,27,17,63.0,6.01
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 1,Nov,4,22,13,59.1,5.51
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 2,Aug,5,26,19,73.1,6.86
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 2,Sep,6,27,19,70.4,6.16
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 2,Oct,7,24,14,58.3,6.54
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 2,Nov,8,23,13,56.5,6.44
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 3,Aug,9,28,17,60.7,5.28
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 3,Sep,10,24,17,70.8,7.56
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 3,Oct,11,23,15,65.2,5.8
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 3,Nov,12,28,18,64.3,6.89
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 4,Aug,13,23,13,56.5,5.87
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 4,Sep,14,24,17,70.8,7.46
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 4,Oct,15,25,14,56.0,6.05
DYP2024CS116,Meera Iyer,AI & Data Science,Sem 4,Nov,16,25,18,72.0,7.51
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 1,Aug,1,23,18,78.3,6.93
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 1,Sep,2,23,17,73.9,7.54
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 1,Oct,3,26,19,73.1,7.06
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 1,Nov,4,23,17,73.9,8.15
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 2,Aug,5,25,19,76.0,7.44
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 2,Sep,6,28,20,71.4,7.79
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 2,Oct,7,22,14,63.6,7.01
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 2,Nov,8,27,17,63.0,5.61
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 3,Aug,9,22,15,68.2,7.41
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 3,Sep,10,25,17,68.0,6.02
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 3,Oct,11,26,17,65.4,7.31
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 3,Nov,12,26,16,61.5,6.01
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 4,Aug,13,28,17,60.7,6.74
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 4,Sep,14,22,14,63.6,6.06
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 4,Oct,15,24,14,58.3,5.25
DYP2024CS117,Nikhil Gupta,Information Technology,Sem 4,Nov,16,22,11,50.0,5.63
DYP2024CS118,Riya Sen,Computer Science,Sem 1,Aug,1,28,19,67.9,6.22
DYP2024CS118,Riya Sen,Computer Science,Sem 1,Sep,2,28,20,71.4,7.36
DYP2024CS118,Riya Sen,Computer Science,Sem 1,Oct,3,27,19,70.4,7.14
DYP2024CS118,Riya Sen,Computer Science,Sem 1,Nov,4,25,18,72.0,6.45
DYP2024CS118,Riya Sen,Computer Science,Sem 2,Aug,5,25,18,72.0,6.47
DYP2024CS118,Riya Sen,Computer Science,Sem 2,Sep,6,25,19,76.0,8.4
DYP2024CS118,Riya Sen,Computer Science,Sem 2,Oct,7,28,22,78.6,8.44
DYP2024CS118,Riya Sen,Computer Science,Sem 2,Nov,8,22,17,77.3,8.08
DYP2024CS118,Riya Sen,Computer Science,Sem 3,Aug,9,25,19,76.0,7.49
DYP2024CS118,Riya Sen,Computer Science,Sem 3,Sep,10,24,19,79.2,8.43
DYP2024CS118,Riya Sen,Computer Science,Sem 3,Oct,11,28,23,82.1,8.43
DYP2024CS118,Riya Sen,Computer Science,Sem 3,Nov,12,25,21,84.0,8.86
DYP2024CS118,Riya Sen,Computer Science,Sem 4,Aug,13,25,21,84.0,7.83
DYP2024CS118,Riya Sen,Computer Science,Sem 4,Sep,14,24,20,83.3,7.48
